Date,Open,High,Low,Close,Volume
30-May-17,992.5,997.62,991.36,996.17,1516685
26-May-17,992,996.39,987.36,993.27,1636416
25-May-17,979,995.78,977.82,991.86,1954149
24-May-17,975.26,978.12,971.63,977.61,1142488
23-May-17,969.96,974.51,964.5,970.55,1545421
22-May-17,957,964.82,956.56,964.07,1387392
19-May-17,952.82,959.56,952,954.65,1360299
18-May-17,943.2,954.18,941.27,950.5,1800465
17-May-17,959.7,960.99,940.06,942.17,2449058
16-May-17,963.55,965.9,960.35,964.61,1101544
15-May-17,955.29,962.7,952.82,959.22,1337697
12-May-17,957.85,957.98,952.06,955.14,1214851
11-May-17,951.29,957.99,948.61,955.89,1031093
10-May-17,956.22,956.71,949.84,954.84,1145969
9-May-17,961.33,962.2,954.4,956.71,1687942
8-May-17,947.45,960.99,947.4,958.69,1876690
5-May-17,956.72,958.44,948.1,950.28,1615548
4-May-17,950.29,959.14,947.37,954.72,1938260
3-May-17,936.05,950.2,935.21,948.45,1824759
2-May-17,933.27,942.98,931,937.09,1751292
1-May-17,924.15,935.82,920.8,932.82,2327782
